つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
伊集院光	HikaruIjuin	お試しでやっているので、突然終わります。あと、スナック感覚でブロックします。例えば、アイコンがどうのこうの〜とか言われただけでブロックとか。すみません。
原田知世	o3a3	
種ともこ	tomokotane	Singer Songwriter
稲川淳二	Junji_Inagawa	こんにちは。稲川淳二です。不定期ですが、Twitterで怪談をつぶやいています。
オノ・ヨーコ	yokoono	IMAGINE PEACE: Think PEACE, Act PEACE, Spread PEACE.
猫ひろし	cathiroshi	身長147cm体重50kg人間山脈猫ひろし WAHAHA本舗所属芸人
中川翔子(ブログ更新情報)	strawberry2	非公式
平井善之	amezari_hirai	ジャンBANG ！の「ザリパイ」ワラッチャオ！の「ハヤブチャオー」です3DS用ソフト『レンタル武器屋deオマッセ』制作。『最強ジャンプ』という雑誌で漫画を連載。アニメ、イラスト制作も。アメザリ20周年。仕事、遊び、お問い合わせはこちらのアカウントまでメッセージください！
三枝こころ	kokoro_s	【所属】 neutral【出身】 石川【学歴】 青山学院女子短期大学 卒業【特技】 ゴルフ（ベスト81）卓球（全中ベスト16） 【公式ブログ】http://t.co/j4nBlkBB
立川談笑	danshou	落語家フジTV「噺家が闇夜にコソコソ」http://t.co/O1TBzbKCiG日経Webhttp://t.co/yQzFXHR2YVhttp://t.co/o8z0Kh2QWc
谷川貞治	SadaharuTany	元K-1プロデューサー。『格闘技通信』編集長など、マスコミ出身。『平謝り』『ハレンチ』好評発売中。新しい格闘技コミニュティサイト『Tany's  Labo』Webマガジン『かみぷろ』も宜しく！http://t.co/yxddyBI5Facebookは、http://t.co/jSSHmhau
長島☆自演乙☆雄一郎	jienotsu	お仕事の依頼はsakigake@hct.zaq.ne.jpまで。仕事はコスプレ、趣味ファイター初代NJKF日本王者。2010K-1日本王者！ 2010K-1World MAX Best8 2011プロレスデビュー I am otaku fighter！K-1&Pro-wrestling
田辺誠一	tanabe1969	Seiichi Tanabe. actor. movie director. 1969april3. 日本人俳優で初の公式Twitterアカウント！のぽぽーんと色々つぶやきますのでよろしくお願いします。Tweet from 26/Oct/2009. 出身地：東京都つぶ谷区
坂本龍一	skmt09	たくさんの人から政治家へメッセージhttp://t.co/zvJbUmxR
広瀬香美	kohmi	広瀬香美です。作曲・作詞・歌唱・ピアノが得意。広瀬香美音楽学校という歌唱作曲作詞スクールの校長やってます。趣味は、読書•筋トレ•ヨガ。「音楽」を通して皆さんの「微笑」を増殖させる「微笑大使」を目指してます！仲良くしてね♩（微笑）
Crystal Kay	CKAY26	I’m a recording artist and a multi-culti human! Follow me on my journey that promises to be super exciting, inspiring, and empowering!
BENI	BENI098	SINGER/SONGWRITER OFFICIAL HP
Rie fu	riefuofficial	Singer/Songwriter/PainterRie fu's official twitter account.paintings→http://t.co/qPP5lNGYm8
サンプラザ中野くん	spnk	サンプラザ中野くんだー！
明和電機	MaywaDenki	明和電機社長、土佐信道です。
平沢進	hirasawa	平沢進
横山健	KenYokoyama	KenYokoyama(2004~), The原爆オナニーズ(2002~2004), BBQ CHICKENS(2000~), Hi-Standard(1991~)
加藤登紀子	TokikoKato	歌手／鴨川自然王国T&T研究所長
Sweet Vacation	Sweet_Vacation	Mayさんが活動を再開したので、バケイションシスターズ新型12号機スズキ（アンドロイド）が、恐縮しながらツイートを再開しました。Mayさんが参加した新プロジェクト「j-Pad Girls」の応援をお願いしますね！
早川大地	daichihaji	音楽×ITプロデューサー、株式会社バイラルワークス代表、ライフハッカー編集委員、音楽レッスンmuty、東京エスムジカ、Sweet Vacation、作曲・プロデュース（ELT、中島愛、Shela、嘉陽愛子、ピストルバルブ、Sputnikoなど）
稲垣潤一	inagakijunichi	ヴォーカリスト&ドラマーです。
小宮山雄飛	yuhikomiyama	1973年原宿生まれ原宿育ちホフディラン・ユウヒーズ・BANK$。TV&smile http://t.co/ofQjvytSns G+ http://t.co/3Kd6aZ57US FB http://t.co/zPWfHTw242POP!
t-kimura	t__kimura	BurningPublishers kkContents Development Div Chief Producer andSynthsizer player of Blitzage
GAKU-MC	gaku_mc	ラッパー　ベストアルバム THE BEST GRADATION  絶賛発売中。 ウカスカジー (桜井和寿 X GAKU-MC) 始めました。http://t.co/0CZ1GMxphwhttps://t.co/nXDdVYN0KE
MEG	_x_MEG_x_	MEG 公式アカウント / I'm Singer, Fashion designer... Tokyo / Paris. Instagram @_x_MEG_x_ , Facebook https://t.co/URIFlmbJdg , WEAR http://t.co/cj7Kea75z3
テイ・トウワ	towatei	♨️
すがやみつる	msugaya	マンガ家・すがやみつる＆娯楽小説家・菅谷 充のTwitterアカウントです。京都精華大学マンガ学部キャラクターデザインコースで専任教員をしています。
よしたに	dancom	エッセイが主戦場の漫画家です(グランドジャンプ/ガンダムエース/朝日新聞夕刊/ComicWalkerで連載中)。YahooのＣＳＲにも。更新情報RSSはこちら。http://t.co/4um8Zp8z9a  お仕事依頼はこちらまで。 yoshitani@glopal.co.jp
野間美由紀	rose_m	ミステリ専門の少女漫画家です。Mac、iPhone、iPadについてのTweetが多いです。仕事のこともちらほら。あとは日常の徒然です。音楽はSCRIPT。飼い猫の名前はポウ-Paw(♂)とチャイ-Chai(♀)です。
日本橋ヨヲコ	yowoko	漫画家です。講談社イブニングで「少女ファイト」を連載中。最新第１１巻発売中です！今回の特装版特典は「黒曜谷高校ストレイドッグス公式タオルマフラー」そして「新装版 プラスチック解体高校」全２巻も同時発売になります。 お気軽にフォローしてくださいね！
内藤みか	micanaitoh	作家 著書80冊以上。最近は電子書籍中心。「夢をかなえるツイッター」著者。ラジオドラマ脚本「婚活バスは、ふるさとへ(YBS放送）」連盟賞関東甲信越地区１位  小説＆舞台脚本「男おいらん」漫画原作「すうがくくん」140字小説の投稿は #twnovel へ
高橋しん	sinpre	漫画制作事務所、高橋しん・プレゼンツ「しんプレ」のつぶやきです。少しずつ、ブログで取り上げるほどではないお仕事の進行状況を、お知らせできたらと思っています。
安倍吉俊	abfly	安倍吉俊/yoshitoshi ABe。イラストレーター、漫画家。アイコンは@Yukaly作。『リューシカ・リューシカ』連載中。 http://t.co/Z8ENTgMX7l 無料で読めます。facebook http://t.co/edlIRQjclk ブログ http://t.co/OkJCRMziED
細田守	hosodamamoru	アニメーション映画監督です。
うるま	uruma	うるまでるびのうるまです。ボテ志をはじめ、おしりかじり虫、白オバケ黒オバケ、ドドボンゴなどを育ててます。http://t.co/ZyVaAVwu
古屋兎丸	usamarus2001	漫画家です。ジャンプSQで「帝一の國」ゴーゴーバンチで「女子高生に殺されたい」連載中。最新刊は「帝一の國」8巻「インノサン少年十字軍」下「ぼくらの★ひかりクラブ」下。リプは気まぐれですが、よろしくお願いします。
いとうせいこう	seikoito	
ガチャピン	GachapinBlog	こんにちは、ガチャピンだよっ！ ぼくがブログを更新したら、ここでもお知らせするね。 たまに、ムックがブログを書いてくれる日もあるよ。
くもジロー	kumojiro	くもジローです！そらジローの友達です。
三木谷浩史	hmikitani	CEO, Rakuten Inc.
熊谷正寿	m_kumagai	ＧＭＯインターネットグループ代表です。不定期につぶやいてます。ご意見やご質問は歓迎します。返信は（なるべく努力しますが）全ては出来ませんのでお許しください。グループのサービスへのお問い合わせはhttps://t.co/DiVbUir0k3のお客様総合窓口へお願い致します。24時間対応しております。
藤田晋	susumu_fujita	サイバーエージェント社長です。趣味：HIPHOP　 特技：ブログ
飯野賢治	kenjieno	¡ɹǝʇʇıʍʇ ǝʌol ı
堀江貴文	takapon_jp	巷ではホリエモンともよばれています。 有料メルマガ http://t.co/RyGFAX7ifOで登録できます。仕事の話とかは info@takapon-jp.com へbitcoin:1G2jt5WeGhqWtDKEkcKY2GrZKjfYsuiVxXUBERプロモコード:ubertakapon
勝間和代	kazuyo_k	勝間和代です。著書、新聞、雑誌などで経済の立て直し、少子化、男女共同参画、ITの使いこなしなどに意見を出しています。URLにはTwitterの使いこなしを掲載しましたので参考にしてください。こちらに向けてフォローミーとつぶやいていただければ、なるべくフォローします。
池田信夫	ikedanob	株式会社アゴラ研究所所長　学術博士（慶應義塾大学）SBI大学院大学客員教授　青山学院大学非常勤講師
